Quote has Item #,Quote #,Item #
1,1,1
2,5011,2
3,5011,3
4,5011,4
5,5011,5
6,5011,6
7,5011,7
8,5011,8
9,5011,9
10,5012,10
11,5012,11
12,5012,12
13,5013,13
14,5013,14
15,5014,15
16,5014,16
17,5014,17
18,5014,18
19,5014,19
20,5014,20
21,5014,21
22,5014,22
23,5015,23
24,5015,24
25,5015,25
26,5015,26
27,5015,27
28,5015,28
29,5015,29
30,5015,30
31,5015,31
32,5015,32
33,5015,33
34,5015,34
35,5017,35
36,5017,36
37,5017,37
38,5017,38
39,5019,39
40,5019,40
41,5019,41
42,5019,42
43,5020,43
44,5020,44
45,5020,45
46,5020,46
47,5020,47
48,5020,48
49,5020,49
50,5020,50
51,5020,51
52,5020,52
53,5021,53
54,5021,54
55,5022,55
56,5022,56
57,5022,57
58,5022,58
59,5022,59

